Ano;"Bloco Econômico";"Código CUCI Subgrupo";"Descrição CUCI Subgrupo";"Quilograma Líquido"
2016;"União Europeia - UE";6342;"Madeira densificada e painéis de partículas, painéis de partículas orientadas (OSB) e painéis semelhantes, de madeira ou de outras matérias lenhosas";1771506
2016;"União Europeia - UE";2483;"Madeira de coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas ou faces, mesmo ou não aplainada, polida ou unida pelas extremidades.";1079364
2016;"União Europeia - UE";6299;"Disco de borracha, obras de borracha endurecida ou de borracha vulcanizada não endurecida";591967
2016;"União Europeia - UE";6211;"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras";578722
2016;"União Europeia - UE";0712;"Café torrado";444640
2016;"União Europeia - UE";2112;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos (frescos, ou salgados, secos, em conserva ou conservados de outro modo, mas não curtidos, apergaminhados ou preparadas de outro modo), ou não depilados ou divididos";370720
2016;"União Europeia - UE";6213;"Fios e cabos de borracha vulcanizada , chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida";320502
2016;"União Europeia - UE";4211;"Óleo de soja e respectivas frações";279738
2016;"União Europeia - UE";2479;"Outras madeiras em bruto ou simplesmente esquadriada";122069
2016;"União Europeia - UE";6212;"Outras formas (ex. varetas, tubos, perfis) e artigos (por exemplo, discos, arruelas), de borracha não vulcanizada";90763
2016;"União Europeia - UE";6214;"Tubos, canos e mangueiras, de borracha vulcanizada não endurecida, com ou sem seus acessórios (por exemplo, juntas, cotovelos, bridas).";62114
2016;"União Europeia - UE";6292;"Correias transportadoras ou de transmissão, de borracha vulcanizada";55298
2016;"União Europeia - UE";6354;"Manufaturas de madeira para uso doméstico ou decorativo (exceto móveis)";26573
2016;"União Europeia - UE";2312;"Borracha natural (exceto látex)";127
2016;"União Europeia - UE";2311;"Látex de borracha natural, mesmo pré-vulcanizado";27
2015;"União Europeia - UE";2222;Soja;5248786739
2015;"União Europeia - UE";0711;"Café não torrado, mesmo descafeinado";983893282
2015;"União Europeia - UE";6343;"Madeira compensada, madeira folheada e madeiras estratificadas semelhantes";333666597
2015;"União Europeia - UE";2461;"Madeira em estilhas ou em partículas";139045980
2015;"União Europeia - UE";6114;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos, curtidos ou em crosta ou não preparados após curtimento ou após secagem, depilados, mesmo divididos";112375685
2015;"União Europeia - UE";4222;"Óleo de palma e suas frações";92071992
2015;"União Europeia - UE";2484;"Madeira de espécies não coníferas especificada na posição 2475 serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";87173861
2015;"União Europeia - UE";2485;"Madeira de espécies não coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de suas bordas, pontas ou faces, mesmo aplainada, polida ou unida pelas extremidades.";69719566
2015;"União Europeia - UE";0112;"Carne bovina congelada";38234859
2015;"União Europeia - UE";6359;"Outros artigos manufaturados de madeira";26190254
2015;"União Europeia - UE";0111;"Carne bovina fresca ou refrigerada";24742948
2015;"União Europeia - UE";2462;"Serragem e resíduos de madeira e sucata, mesmo aglomerados em bolas, briquetes, pellets ou em formas semelhantes";24396234
2015;"União Europeia - UE";8215;"Outros móveis, de madeira";20512764
2015;"União Europeia - UE";6345;"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou outras substâncias orgânicas";13657118
2015;"União Europeia - UE";0713;"Extratos, essências e concentrados de café e preparações à base destes produtos ou à base de café, sucedâneos do café e respectivos extractos, essências e concentrados";10342210
2015;"União Europeia - UE";6349;"Madeira, em forma simples";7051402
2015;"União Europeia - UE";2482;"Madeira de coníferas, serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";6514375
2015;"União Europeia - UE";2322;"Borracha reconstituída, desperdícios e resíduos de borracha não endurecida";5423294
2015;"União Europeia - UE";6341;"Folhas para folheados,folhas para contraplacados ou para madeiras estratificadas semelhantes e outras madeiras,serradas longitudinalmente, cortada ou desenrolada,mesmo aplainada,polida ou unidas longitudinalmente ou pelas extremidades, espessura <= 6 mm";2559899
2015;"União Europeia - UE";6292;"Correias transportadoras ou de transmissão, de borracha vulcanizada";1538214
2015;"União Europeia - UE";2483;"Madeira de coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas ou faces, mesmo ou não aplainada, polida ou unida pelas extremidades.";1277915
2015;"União Europeia - UE";6342;"Madeira densificada e painéis de partículas, painéis de partículas orientadas (OSB) e painéis semelhantes, de madeira ou de outras matérias lenhosas";894548
2015;"União Europeia - UE";6299;"Disco de borracha, obras de borracha endurecida ou de borracha vulcanizada não endurecida";627222
2015;"União Europeia - UE";6211;"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras";517388
2015;"União Europeia - UE";0712;"Café torrado";464582
