Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
São Geraldo do Araguaia,12543905,17389468,4499742,2872519,2420099,513273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São José de Ribamar,6327,8819,11736,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São José do Rio Pardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,0,0,0,0,0,0,Meat
São José do Rio Preto,0,1788821,89044,296311,328543,11068331,1028488,520585,949112,555477,98975,0,181914,0,102829,311768,169318,83770,338270,277050,772558,181700,293204,5452539,5408675,Meat
São José dos Campos,72,0,0,7,21,49,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São José dos Quatro Marcos,0,0,0,0,0,0,2558680,12993642,14386102,11700889,10157663,8674361,626434,0,0,0,160,0,0,0,0,0,0,0,0,Meat
São Luís,51752,62044,58209,9301,0,0,5447680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São Luís de Montes Belos,744,348363,626855,224668,0,71185,273283,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São Miguel do Guaporé,14255988,8942971,9496859,12435952,12533785,8792909,7777198,12587612,4515353,1473907,1101975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São Paulo,1286328,1911306,3236396,7493873,20783361,21015651,56733771,27575187,11365624,4984770,3223157,6450628,12485164,64610522,109525472,168790727,111541306,80636445,52846046,49511178,99277457,53520209,45984068,50443571,27741045,Meat
São Sebastião,9597,19125,18049,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São Sebastião do Oeste,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
São Sebastião do Paraíso,143224,212069,239772,594941,691536,675849,608991,1060149,903943,731417,585075,1011052,843562,344965,889472,1777749,1959091,1406076,423429,600324,1614323,1127967,1836241,2758245,2001513,Meat
São Vicente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,Meat
Taboão da Serra,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Tangará da Serra,37787419,40641864,32806134,32456485,27188719,25535005,21328686,20526682,4637424,2942605,1889161,1689107,75060,2827920,10420686,50075,227767,0,0,0,0,0,0,0,0,Meat
Taubaté,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,Meat
Teixeira de Freitas,0,631918,890975,125225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Teodoro Sampaio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282152,175300,0,0,Meat
Terenos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254718,8813925,853456,0,24930,0,0,Meat
Teresina,0,0,0,0,0,0,0,0,60150,136970,131300,376080,2104165,11530,189370,663709,265425,1009183,457023,601000,460850,2563457,3235591,3733847,3949744,Meat
Teófilo Otoni,0,0,0,0,0,0,0,0,0,0,1127509,3747453,1782113,1984964,1378650,0,0,0,0,272203,0,0,0,0,0,Meat
Tietê,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Timon,629145,1602336,1752552,428202,553548,11021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Tiradentes,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,Meat
Trindade,22329680,23925487,34524521,42033449,36637882,34962971,29322598,28915569,23723006,20516425,21131640,16355738,16559654,11057675,13841288,13531872,8812958,4679267,2515139,2134548,1073560,0,0,0,19490,Meat
Três Corações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,Meat
Três Lagoas,0,0,0,0,0,0,0,0,0,0,0,0,0,1292422,25219,25432,5210798,2559903,1874384,0,0,57000,1182830,0,0,Meat
Tucumã,26084,3217801,9783894,12757232,7445445,7942597,5524630,181643,0,0,224970,350193,75080,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Tupã,0,0,0,0,0,0,0,0,0,0,0,69760,66934,25048,0,0,24939,58432,117456,11035,25746,6154,0,0,0,Meat
Turvolândia,0,0,0,4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Uberaba,15047,3122410,1847461,4525255,5162990,0,31000,5896400,1288010,925430,1087812,453169,3026365,3847500,4483541,277628,598080,1439060,72239,255008,46270,82350,141550,28300,24000,Meat
Uberlândia,12961759,7882783,10020326,6835331,12924797,15177992,19109589,21696597,19893496,22557268,14311057,547537,0,2615162,0,366220,4659473,8063520,9783367,10116471,11203600,12249977,13076826,18533167,18380100,Meat
Ubá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16040,Meat
Valinhos,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Vila Rica,0,0,0,0,0,0,0,737045,2240809,0,0,0,353122,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Vilhena,22159613,19236136,21997052,25977757,30054160,34609517,32017873,39048566,47670644,31224983,10040870,13471983,12430450,15260204,29371373,9762874,4057498,2228720,1832354,0,0,2001,0,0,0,Meat
Vinhedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108734,0,0,0,0,0,125937,0,154044,Meat
Visconde do Rio Branco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105024,24640,0,0,0,0,Meat
Vitória da Conquista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396895,6302645,3621032,Meat
Votorantim,0,0,0,0,0,0,0,0,0,0,0,0,0,34857,1582,195,499,0,0,0,0,0,0,0,0,Meat
Votuporanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929213,0,0,0,0,0,19772,0,0,0,0,Meat
Várzea Grande,68610730,63780707,40578796,43761560,51542818,34019094,35448822,7372367,6337667,7142054,4976519,6876203,6775842,1559426,301324,16129027,8270519,7297504,12364304,6958782,422244,1382180,557883,1485914,2056018,Meat
Várzea Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16821,86276,662516,Meat
Wanderlândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,620960,1595845,1054365,Meat
Xinguara,19848460,27838622,28773137,28091897,37965939,21252855,24268696,29149191,26986694,15490888,11413065,9887376,3054126,3959443,7482808,10322903,1677860,0,0,0,0,0,0,0,0,Meat
Água Azul do Norte,13852351,15553697,9013071,4678824,12724365,10475618,7803381,7434173,6933524,3333111,1346037,1156248,639083,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Água Boa,0,0,26981,105173,0,33132,27981,136919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Álvares Machado,0,7,0,90,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meat
Abaetetuba,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Acreúna,0,495350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105000,Soy
Adamantina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982393,2304891,0,4193706,0,0,0,0,0,0,Soy
Alagoinhas,0,0,0,0,0,0,0,0,0,8377040,2296045,1850810,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Albertina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880000,0,0,0,0,Soy
Aldeias Altas,0,0,0,0,0,0,0,0,0,0,11448632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Alfenas,0,0,27537099,609722536,175892317,24241940,4168221,0,0,0,39921,55929,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Almeirim,0,0,31267685,56650766,19117535,0,9304600,87712537,193965741,31089806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Alta Floresta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661000,0,0,0,0,0,0,0,0,0,Soy
Altamira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972173,0,0,Soy
Alto Araguaia,661096980,220308128,274876316,147526211,64731810,80896097,40296997,22422375,113899847,133321831,86826529,11108740,7894900,3453552,57922889,90327001,995469899,34354389,0,0,0,0,0,0,0,Soy
Alto Garças,235705683,210084540,178257443,158120732,196243926,135082664,150041362,147740077,124673292,39537750,22255685,41931881,73250421,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Alto Parnaíba,35139667,25413735,33807250,5337842,1720760,7862994,17242353,14398089,5588500,15535605,13963812,13531230,9033840,4866432,0,0,0,0,0,0,0,0,0,0,0,Soy
Alto Taquari,56394194,91817949,76164347,46327590,101057249,67522436,88700626,53721151,87147881,97045484,97298512,101312476,72969147,29593150,13442269,17827000,300000,0,143570,0,0,0,0,0,0,Soy
Altos,3727806,0,24064003,3908597,9242709,3671279,4424055,1368785,0,430531,2150240,218102,691888,964652,0,0,0,0,0,0,0,0,0,0,0,Soy
Alumínio,0,0,0,180757289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Alvorada,102146966,0,0,0,4988771,12520301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Amambaí,0,24917512,17137261,27495979,313422,0,0,0,0,0,0,0,0,4282940,0,0,0,0,0,0,0,0,0,0,0,Soy
Americana,0,0,0,0,0,0,1054156,2010476,19605288,0,0,0,0,0,0,0,0,0,7045562,0,49662888,0,0,6290000,0,Soy
Amparo,351188,0,861258,12478069,0,0,0,0,0,0,0,0,0,0,0,0,64303198,130839270,0,0,0,0,0,0,0,Soy
Ananindeua,0,0,0,0,0,281690,0,2051754,0,0,0,0,0,425936,3748977,0,0,0,0,0,0,0,0,0,8055000,Soy
Anapurus,499703676,423577200,259754251,106558583,60578655,7267741,60570941,44187268,48268069,55789489,88223433,31039769,1764020,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Andaraí,15260,30390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Andradina,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,Soy
Angélica,0,0,0,0,0,0,0,0,0,0,0,0,21765000,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Anhembi,0,0,3950000,47378619,66816697,88364171,97300,9800117,125594888,129239603,75032899,121118430,107053186,1634447,13540303,0,0,0,0,0,0,0,0,0,0,Soy
Antônio João,319425051,288021085,61997026,139951010,66849010,14636957,0,0,0,0,0,0,0,0,0,0,4511090,0,0,0,0,0,0,0,0,Soy
Anápolis,329813998,285988698,369813708,62668666,316272744,396011353,554599352,529024123,518086955,487219573,559690579,96309000,141450174,11500419,35052763,60255985,71000000,43000000,5000000,0,11229456,0,0,0,0,Soy
Aparecida de Goiânia,0,0,0,0,27416683,46864696,10016779,0,18693581,23056938,25259089,28000000,15000000,0,3279761,28800000,14950000,13838385,0,0,0,0,3309546,0,0,Soy
Aparecida do Taboado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280571,0,0,0,0,0,0,0,0,0,0,Soy
Araguacema,0,0,1783039,6692967,18079719,1547874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Araguari,471208416,622000170,497494324,344748094,444452767,424121085,222427008,192728196,273461791,206160159,107824088,48796265,31233319,15706197,30634885,10186160,0,0,0,0,0,12965870,0,0,0,Soy
Araguaína,4063534,10552030,32243500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Aral Moreira,0,0,0,0,0,0,0,0,0,0,0,0,10000000,2542850,3000000,0,5500000,0,0,0,0,0,0,0,0,Soy
Araraquara,0,0,0,10710880,10371000,8646523,6498000,9029637,1397283050,338191570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580000,Soy
Araras,0,88121952,50000260,1493185,19620173,0,0,0,9586131,2672760,23000,0,79046,0,11850,0,0,0,0,0,19500000,0,0,0,0,Soy
Araxá,0,0,0,0,0,217256,979691,1534125,300000,550000,0,0,0,0,0,0,0,35000,0,0,0,991000,0,0,0,Soy
Araçariguama,0,0,0,0,0,0,0,2064526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5723771,7959000,Soy
Araçatuba,72030303,13220128,1589025,1319007,953394,0,1695,0,0,9162737,20447379,26799270,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Ariquemes,3816175,0,57950,8532385,5251800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,Soy
Ariranha,0,0,0,0,0,10310615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Artur Nogueira,0,2938828,0,959557,1236901,1979048,2179283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Assis,0,13382641,10493176,0,0,0,2782380,0,0,0,0,0,0,326410,11000000,0,0,0,0,0,0,2000000,0,0,28150000,Soy
Atibaia,0,50338,0,0,0,0,478620,1510450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Auriflama,0,0,0,0,0,0,0,0,0,0,0,516444,0,483291,2930694,810165,0,0,0,0,0,0,0,0,0,Soy
Avanhandava,0,8043284,8906120,15888372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839930,500000,0,Soy
Avaré,66480,328838,0,0,0,0,302448,742192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Açailândia,56094736,17439745,17526242,55850,154969450,22894153,121269945,16959875,40880225,34866966,6568171,2411649,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bacabeira,0,0,1278630,0,0,14441815,139739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Baependi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187170,0,0,0,0,0,0,0,0,0,0,Soy
Baixa Grande do Ribeiro,85890838,48223484,154078285,145223152,46971764,22190505,90642649,13765738,822869,0,0,0,26908349,8006710,0,0,0,0,0,0,0,0,0,0,0,Soy
Balsas,1600566388,1135378906,1210871044,643754090,1002595616,668193919,1023316408,614392153,707140760,770356618,786347212,561502388,539756456,635619800,229199965,272883778,637417443,414224205,314424872,209563843,60470000,0,71773333,194764569,169649145,Soy
Barbacena,0,0,0,0,0,0,0,0,18976426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Barcarena,216357182,549971600,230600541,1978100,40750238,561220,151685385,61777355,0,22988344,12015592,25147736,13802076,25447000,48315418,140749392,54650885,9426639,35136766,0,6198000,0,29553288,0,0,Soy
Bariri,0,478247,5699732,0,0,0,16386900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Barra Bonita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33291720,53073542,25336884,32058786,33923948,0,0,0,Soy
Barra do Garças,115685039,99817441,101742177,37735626,156399184,119503076,171756761,241988161,128002972,127796922,107278962,51747914,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Barreiras,1123799751,883221063,666966384,362245671,508057083,203894017,387495516,289944076,134051760,392989071,369220338,465750587,225255916,143175771,273498690,136775467,240962486,96373123,131252654,24905000,62374575,88218396,49370300,153318290,107441701,Soy
Barretos,3672376,5537249,0,0,0,0,0,0,0,2272222,1723788,0,0,0,0,0,0,0,0,0,17298838,0,0,7278399,78807238,Soy
Barueri,0,296452,69160,1268648,2664143,19967,1129664,0,965110,517880,20527773,26759129,179095,11956954,979597,2212638,79693938,231363846,80914990,0,0,5425382,35265251,28070423,312715,Soy
Bastos,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bataguassu,0,0,0,0,0,0,0,0,0,0,0,0,0,5500000,0,0,0,0,0,0,0,0,0,0,110741280,Soy
Batatais,1824462,2021057,0,0,0,0,2039860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bauru,0,0,0,0,1500000,3610603,4502255,4350986,10978095,0,0,0,0,0,0,0,2555454,1252506,0,0,0,0,0,0,0,Soy
Bebedouro,35970727,0,0,0,342133,83240707,154767083,61015555,2298505,0,0,0,0,0,0,1820000,0,0,0,0,0,0,0,0,27560073,Soy
Belo Horizonte,0,0,13717584,1399553,75771,622515,38879,91165,73821,33210,3210385,1012463,39960365,7861511,14495355,38220171,121977855,22097954,11840640,500000,49933117,31373325,160603408,217304585,61568958,Soy
Belém,2187,67877,977529,1144920,215400,361690,198380,2089163,1221098,15311826,12754624,1282904,268052,0,0,1468200,5756809,0,0,0,0,0,0,0,22615000,Soy
Benevides,97200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Betim,0,0,0,0,1061071,0,0,0,0,1625486,7761974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Birigui,9784977,12704170,31096040,38280286,33925028,27850212,14648079,26963175,41467254,14134484,1832000,2983241,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Boa Vista,119244995,21995638,7327814,1636691,3576978,2841035,1510000,23860200,963000,55000,25039,0,0,0,0,3150000,1706890,180000,10700,0,0,0,16000,4000,14000,Soy
Bocaina,0,0,0,0,87913819,0,0,195210643,174132720,73512292,0,0,8215000,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bom Jesus,634994108,527685839,301547921,97486360,409913477,170127875,367304101,169534568,25016379,70847280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2437855,Soy
Bom Jesus da Penha,0,109494,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bom Jesus de Goiás,0,0,14252675,67684200,74224326,84768767,32150458,96351468,30773257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bom Jesus do Araguaia,50959520,49463195,71263878,53458305,37164201,0,0,1222800,43827480,60369267,49876049,0,22091397,25807055,28904240,6010000,5917310,0,0,0,0,0,0,0,0,Soy
Bonfim,400000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Bonito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722159,8000000,13564380,0,0,0,0,0,0,Soy
Borá,0,0,15385080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Botucatu,384758191,26581914,0,0,0,0,0,0,0,289469,0,0,0,0,0,2234147,0,0,0,0,1054000,0,19500000,17847152,2000000,Soy
Bragança Paulista,0,280591,0,0,0,0,153396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552000,470000,Soy
Brasiléia,0,0,25054,0,0,0,0,143302,167358,48848,93601,222550,270648,75260,23400,19800,0,33000,0,0,0,0,0,0,0,Soy
Brasnorte,373507523,337388636,498941749,161592602,216917815,252731337,110140727,137300677,176169577,71172585,104085146,145056854,151869649,125878157,71275040,22103900,45185324,0,0,0,0,0,0,0,0,Soy
Brasília,17068031,22811535,24599952,6637022,29783520,48761227,51346250,55046879,23148907,40998826,81890175,27109249,37768825,33798513,28497150,47151715,16884816,0,0,10156402,5805973,0,0,14550000,8706773,Soy
Breves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11665000,Soy
Brotas,0,0,0,0,0,0,0,0,28678933,22906876,6207625,11640986,2757328,36377674,31464456,13766090,0,0,0,0,0,0,0,0,0,Soy
Buritama,0,0,0,0,0,0,0,193697,4116390,932223,4248946,0,0,380563,0,0,0,0,0,0,0,0,0,0,0,Soy
Buritis,0,0,0,0,0,15000,0,13681910,2971677,20045434,13162897,0,0,0,0,0,0,0,0,0,0,0,0,0,280000,Soy
Caarapó,190832564,93379776,27815224,33744474,90913032,146415655,160665479,107424306,53617347,32561127,99723223,67064964,115089955,54111918,75956919,24124211,3000000,0,0,0,0,0,0,0,0,Soy
Cacoal,68253104,70133242,58981533,102240,0,0,0,0,0,0,0,0,0,0,0,0,0,122472,0,0,0,0,0,0,0,Soy
Caieiras,0,0,0,0,0,1348452,0,0,0,0,0,21961450,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Cajamar,0,0,0,0,0,0,0,1000,0,0,175020,0,0,0,0,0,200,0,0,0,0,0,0,0,0,Soy
Cajueiro da Praia,0,0,0,0,0,0,0,0,0,0,0,0,0,488388,0,0,0,0,0,0,0,0,0,0,0,Soy
Cajuru,0,0,815816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Caldas Novas,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Camapuã,0,2867702,68355,0,1361801,2209466,4687860,0,0,82992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Camaçari,5962985,0,6509972,0,23524781,2880633,4381248,5017174,5090000,0,0,0,0,0,20117180,0,3677000,22582418,16723465,23234765,22503991,0,20135000,18650000,31362532,Soy
Campinas,0,57600,0,0,4265989,3,72209456,293271655,318373454,275587245,101897570,0,0,232,0,0,241210921,222304876,193139081,209959453,243254825,4500000,2560000,7324451,3000000,Soy
Campo Florido,0,0,0,0,2287360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Campo Grande,181546447,157133563,114932853,97473998,89667780,140138891,122950470,136011252,131128575,122645943,92880687,81063602,65103381,186514037,22548737,38806213,175636406,47159238,17749130,106873038,115023607,434686485,272160018,210110346,526628287,Soy
Campo Novo do Parecis,1456107128,1616833098,1445883087,665621417,717837490,666262320,531534884,670216962,826100239,747945539,855101141,750711583,829650062,771594956,183882147,1610868490,1000215926,331688309,288682079,0,0,0,0,0,18650000,Soy
Campo Verde,707653275,583857908,201894158,88628642,176176146,97059809,126390795,172038290,187960566,205346080,164183610,103606021,126295984,95882259,26730981,15560580,6386464,5975000,0,0,0,0,3000000,2000000,7000000,Soy
Campos Lindos,229907906,207005754,190029541,109580186,258440158,172559164,285388451,389638550,260713099,298799063,298024171,240283119,172698068,165604794,63719990,80907099,190393427,130915246,120484870,34147900,0,0,0,0,0,Soy
Campos Novos Paulista,0,18674603,13780460,9975144,20607342,5527960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Campos de Júlio,411601007,781208085,724089039,372114436,388435583,479057166,427035175,239574163,360752697,465878458,271930170,295458782,403302325,339671339,23073462,37406736,34285950,2900000,0,0,0,0,113918312,0,0,Soy
Campos do Jordão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732511,0,0,0,0,0,0,0,0,0,Soy
Canarana,779992279,623829009,569914302,257881789,678113194,394585775,551507041,353704680,254034321,210685100,173287796,94661886,114880222,134798721,79886275,25464530,2640523,1605740,0,0,0,0,0,0,0,Soy
Candeias,0,140468030,18058614,7088650,102331092,0,13198457,8921275,0,0,0,0,0,0,0,0,0,0,9376466,0,0,0,0,0,0,Soy
Canto do Buriti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555555,3392591,Soy
Canápolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164062,905349,656580,0,0,0,0,0,0,0,0,Soy
Capinópolis,110611774,38420878,28627308,28174769,101279471,44141990,27523787,12655240,12229651,9386812,5765290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Capitão Enéas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15331000,2339181,0,0,Soy
Carandaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52510280,0,0,0,0,0,0,0,0,Soy
Carapicuíba,0,11363,60736,7787,0,0,495110,0,849706,0,0,0,0,0,0,6732717,6545906,0,0,19535636,2179930,270000,0,980000,0,Soy
Caratinga,0,0,0,0,0,16907160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Caraíbas,0,0,0,0,0,0,0,0,0,0,0,0,0,172414,916220,0,0,0,0,0,0,0,0,0,0,Soy
Cariri do Tocantins,92516158,136591011,111464271,79645902,115356359,216441510,283946994,150527559,32660818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Carlinda,72607534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Carmo da Mata,0,0,0,765117,939550,869655,2912511,991227,1093700,0,714290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Carmo do Cajuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452058,0,0,0,0,0,0,0,0,0,0,Soy
Carmo do Rio Verde,3984492,12930382,11523822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Casa Branca,44600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053361,0,Soy
Casa Nova,3078422,24745217,5133945,11800620,28495331,0,0,0,0,0,0,0,0,0,1320513,0,0,0,0,0,0,0,0,0,0,Soy
Castanhal,0,0,0,0,0,9217677,50043435,50499326,44483082,31623967,2555524,11916682,7742134,0,0,0,0,0,0,0,0,0,0,0,1320000,Soy
Castelândia,0,96819327,67935391,40388571,88221242,60417823,38913698,33132361,11780599,72669407,78159780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Catalão,144310743,246704432,224383938,51166786,134165230,59615161,99014452,63980620,74007443,93205487,179191165,29092460,98347219,29847849,60640511,0,0,0,0,0,0,0,0,0,32401000,Soy
Catanduva,0,8252657,6842799,7477512,1306,224834,4505972,1079697,7728,5962,5193,7378,6606,2293,1840,21028857,0,84406488,292956943,148835600,41832494,72556417,0,0,0,Soy
Cerejeiras,376695631,244459670,243371502,206863714,244804770,176584314,161654833,142542411,175315323,180987320,46411592,54230947,32304116,40537712,0,0,0,0,0,0,0,0,0,0,0,Soy
Cerqueira César,141780,129240,0,19702535,942413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Cerquilho,0,0,0,526715,0,0,0,0,0,0,0,0,0,0,0,0,900053,0,2867654,0,0,0,0,0,0,Soy
Cesário Lange,0,27036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Soy
Chapadão do Céu,4895379,17667867,11192786,13517343,35452888,52772360,21574272,32707407,19760104,34791992,19156470,46437516,0,1149029,4228000,9330131,1209037,0,0,0,0,2833000,0,0,623000,Soy
Chapadão do Sul,382052639,351831701,333492975,214476223,355808759,213704907,360244702,184219342,242823580,196670307,175743775,136279826,59716645,55498885,45392000,53288648,27124598,0,0,0,0,0,0,609000,1595470,Soy
Cidade Ocidental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325582,0,0,0,0,0,0,0,0,0,Soy
Clementina,0,0,0,0,0,8191429,0,0,0,0,0,0,0,4122123,0,0,0,0,0,0,0,0,0,0,0,Soy
Cláudia,87296629,95654877,74597962,64336803,65900041,22527580,815821,8487617,9376400,7650000,0,0,0,0,0,5223290,1033830,199390,0,0,0,0,0,0,0,Soy
