Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Bela Vista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65307,208500,0,0,Wood
Belo Horizonte,1313,1276,1866,43,478,13487,186,70267,77351,185353,61339,92387,1566327,576246,1821305,5092732,4240878,5463857,5824199,5305196,3142748,2471027,4812809,8071092,5149106,Wood
Belo Oriente,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Belterra,0,0,0,0,0,0,0,0,0,0,0,0,20998,1866977,1847744,3302450,0,0,0,0,0,0,0,0,0,Wood
Belém,69547947,89528955,89393378,75592020,57118667,64761196,66408249,57092903,55177514,71204660,83089184,87633259,98493065,163687757,247556269,244734434,250609312,300371371,256338589,203798041,202444513,259394525,210522707,182252271,250581064,Wood
Benevides,4961097,7422848,6946668,6023421,5400207,7498243,5272102,3496853,2099106,2575440,2179476,1269839,1336352,2757892,5620567,1410081,1242610,3929697,1293725,840409,1194034,18480,363935,567427,65480,Wood
Benjamin Constant,0,0,0,0,0,0,0,0,0,0,0,0,0,189626,115008,63218,0,0,0,0,0,0,0,0,0,Wood
Bertioga,0,0,0,0,0,0,20193,21954,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Betim,29,8,8910,10204,19755,26596,110400,109066,2,1747,4644,7812,7783,0,5,1,83,0,0,15,92,0,234,6086,220,Wood
Bilac,0,0,0,0,0,0,0,0,0,0,0,0,0,12148,0,0,0,53459,0,0,0,0,0,0,0,Wood
Birigui,0,724,2011,2618,0,0,20,27,65,7,5,0,0,0,1108,0,0,0,0,11757,517,0,0,54,0,Wood
Boa Vista,16216,150453,33927,6561,190,0,0,148179,635076,5766027,4331678,3186573,5686535,5815931,12377299,17219641,13345815,11746880,8015510,20893161,19711924,12191788,10821519,8245525,4574423,Wood
Boca do Acre,176500,220500,248200,95000,141000,48500,48000,162400,21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
